Run number:,Kb in use
1,16636
2,16636
3,16636
4,16656
5,16656
6,16656
7,16656
8,16656
9,16656
10,16656
11,16664
12,16664
13,16668
14,16668
15,16668
16,16668
17,16668
18,16668
19,16668
20,16668
21,16668
22,16668
23,16668
24,16668
25,16668
26,16668
27,16672
28,16672
29,16672
30,16672
31,16672
32,16672
33,16672
34,16672
35,16672
36,16672
37,16672
38,16680
39,16688
40,16688
41,16688
42,16688
43,16688
44,16688
45,16688
46,16688
47,16688
48,16688
49,16688
50,16688
51,16688
52,16688
53,16688
54,16688
55,16688
56,16688
57,16688
58,16708
59,16708
60,16708
61,16708
62,16708
63,16708
64,16708
65,16708
66,16708
67,16708
68,16708
69,16708
70,16708
71,16716
72,16736
73,16736
74,16736
75,16736
76,16736
77,16736
78,16736
79,16736
80,16736
81,16736
82,16736
83,16736
84,16736
85,16736
86,16736
87,16736
88,16736
89,16736
90,16736
91,16736
92,16736
93,16736
94,16736
95,16736
96,16736
97,16736
98,16736
99,16736
100,16736
101,16736
102,16736
103,16736
104,16736
105,16736
106,16752
107,16752
108,16752
109,16752
110,16752
111,16768
112,16768
113,16768
114,16768
115,16768
116,16768
117,16768
118,16768
119,16768
120,16768
121,16768
122,16768
123,16768
124,16768
125,16768
126,16768
127,16768
128,16768
129,16768
130,16768
131,16768
132,16768
133,16768
134,16768
135,16768
136,16768
137,16768
138,16768
139,16768
140,16768
141,16768
142,16768
143,16768
144,16768
145,16768
146,16768
147,16768
148,16768
149,16768
150,16768
151,16768
152,16768
153,16768
154,16768
155,16768
156,16768
157,16768
158,16768
159,16768
160,16788
161,16788
162,16788
163,16788
164,16788
165,16788
166,16788
167,16788
168,16788
169,16788
170,16788
171,16788
172,16788
173,16788
174,16788
175,16788
176,16788
177,16788
178,16788
179,16788
180,16788
181,16788
182,16788
183,16788
184,16788
185,16788
186,16788
187,16788
188,16788
189,16788
190,16788
191,16788
192,16788
193,16788
194,16788
195,16788
196,16788
197,16788
198,16804
199,16804
200,16812
201,16812
202,16812
203,16812
204,16812
205,16812
206,16812
207,16812
208,16812
209,16812
210,16812
211,16812
212,16812
213,16812
214,16812
215,16812
216,16812
217,16812
218,16812
219,16812
220,16812
221,16812
222,16812
223,16812
224,16812
225,16812
226,16812
227,16812
228,16812
229,16812
230,16812
231,16812
232,16812
233,16812
234,16812
235,16812
236,16812
237,16812
238,16812
239,16812
240,16812
241,16840
242,16840
243,16840
244,16840
245,16840
246,16840
247,16840
248,16840
249,16840
250,16840
251,16840
252,16840
253,16840
254,16840
255,16840
256,16840
257,16840
258,16840
259,16840
260,16840
261,16840
262,16840
263,16840
264,16840
265,16840
266,16840
267,16840
268,16840
269,16840
270,16840
271,16840
272,16840
273,16840
274,16840
275,16840
276,16840
277,16840
278,16840
279,16840
280,16840
281,16840
282,16840
283,16840
284,16840
285,16840
286,16840
287,16840
288,16840
289,16840
290,16840
291,16840
292,16840
293,16840
294,16840
295,16840
296,16840
297,16840
298,16840
299,16840
300,16848
301,16848
302,16848
303,16848
304,16848
