Run number:,KiloBytes in use
1,23724
2,23736
3,23736
4,23736
5,23736
6,23736
7,23736
8,23736
9,23736
10,23736
11,23736
12,23736
13,23736
14,23736
15,23736
16,23736
17,23736
18,23736
19,23736
20,23736
21,23736
22,23736
23,23736
24,23736
25,23736
26,23736
27,23736
28,23736
29,23736
30,23736
31,23736
32,23736
33,23736
34,23736
35,23736
36,23736
37,23736
38,23736
39,23736
40,23736
41,23736
42,23736
43,23736
44,23736
45,23736
46,23736
47,23736
48,23736
49,23736
50,23736
51,23736
52,23736
53,23736
54,23736
55,23736
56,23736
57,23736
58,23736
59,23736
60,23736
61,23736
62,23736
63,23736
64,23736
65,23736
66,23736
67,23736
68,23736
69,23736
70,23736
71,23736
72,23736
73,23736
74,23736
75,23736
76,23736
77,23736
78,23736
79,23736
80,23736
81,23736
82,23736
83,23736
84,23736
85,23736
86,23736
87,23736
88,23736
89,23736
90,23736
91,23736
92,23736
93,23736
94,23736
95,23736
96,23736
97,23736
98,23736
99,23736
100,23736
101,23736
102,23736
103,23736
104,23736
105,23736
106,23736
107,23736
108,23736
109,23736
110,23736
111,23736
112,23736
113,23736
114,23736
115,23736
116,23736
117,23736
118,23736
119,23736
120,23736
121,23736
122,23736
123,23736
124,23736
125,23736
126,23736
127,23736
128,23736
129,23736
130,23736
131,23736
132,23736
133,23736
134,23736
135,23736
136,23736
137,23736
138,23736
139,23736
140,23736
141,23736
142,23736
143,23736
144,23736
145,23736
146,23736
147,23736
148,23736
149,23736
150,23736
151,23736
152,23736
153,23736
154,23736
155,23736
156,23736
157,23736
158,23736
159,23736
160,23736
161,23736
162,23736
163,23736
164,23736
165,23736
166,23736
167,23736
168,23736
169,23736
170,23736
171,23736
172,23736
173,23736
174,23736
175,23736
176,23736
177,23736
178,23736
179,23736
180,23736
181,23736
182,23736
183,23736
184,23736
185,23736
186,23736
187,23736
188,23736
189,23736
190,23736
191,23736
192,23736
193,23736
194,23736
195,23736
196,23736
197,23736
198,23736
199,23736
200,23736
201,23736
202,23736
203,23736
204,23736
205,23736
206,23736
207,23736
208,23736
209,23736
210,23736
211,23736
212,23736
213,23736
214,23736
215,23736
216,23736
217,23736
218,23736
219,23736
220,23736
221,23736
222,23736
223,23736
224,23736
225,23736
226,23736
227,23736
228,23736
229,23736
230,23736
231,23736
232,23736
233,23736
234,23736
235,23736
236,23736
237,23736
238,23736
239,23736
240,23736
241,23736
242,23736
243,23736
244,23736
245,23736
246,23736
247,23736
248,23736
249,23736
250,23736
251,23736
252,23736
253,23736
254,23736
255,23736
256,23736
257,23736
258,23736
259,23736
260,23736
261,23736
262,23736
263,23736
264,23736
265,23736
266,23736
267,23736
268,23736
269,23736
270,23736
271,23736
272,23736
273,23736
274,23736
275,23736
276,23736
277,23736
278,23736
279,23736
280,23736
281,23736
282,23736
283,23736
284,23736
285,23736
286,23736
287,23736
288,23736
289,23736
290,23736
291,23736
292,23736
293,23736
294,23736
295,23736
296,23736
297,23736
298,23736
299,23736
300,23736
301,23736
302,23736
303,23736
304,23736
305,23736
306,23736
307,23736
308,23736
309,23736
310,23736
311,23736
312,23736
313,23736
314,23736
315,23736
316,23736
317,23736
318,23736
319,23736
320,23736
321,23736
322,23736
323,23736
324,23736
325,23736
326,23736
327,23736
328,23736
329,23736
330,23736
331,23736
332,23736
333,23736
334,23736
335,23736
336,23736
337,23736
338,23736
339,23736
340,23736
341,23736
342,23736
343,23736
344,23736
345,23736
346,23736
347,23736
348,23736
349,23736
350,23736
351,23736
352,23736
353,23736
354,23736
355,23736
356,23736
357,23736
358,23736
359,23736
360,23736
361,23736
362,23736
363,23736
364,23736
365,23736
366,23736
367,23736
368,23736
369,23736
370,23736
371,23736
372,23736
373,23736
374,23736
375,23736
376,23736
377,23736
378,23736
379,23736
380,23736
381,23736
382,23736
383,23736
384,23736
385,23736
386,23736
387,23736
388,23736
389,23736
390,23736
391,23736
392,23736
393,23736
394,23736
395,23736
396,23736
397,23736
398,23736
399,23736
400,23736
401,23736
402,23736
403,23736
404,23736
405,23736
406,23736
407,23736
408,23736
409,23736
410,23736
411,23736
412,23736
413,23736
414,23736
415,23736
416,23736
417,23736
418,23736
419,23736
420,23736
421,23736
422,23736
423,23736
424,23736
425,23736
426,23736
427,23736
428,23736
429,23736
430,23736
431,23736
432,23736
433,23736
434,23736
435,23736
436,23736
437,23736
438,23736
439,23736
440,23736
441,23736
442,23736
443,23736
444,23736
445,23736
446,23736
447,23736
448,23736
449,23736
450,23736
451,23736
452,23736
453,23736
454,23736
455,23736
456,23736
457,23736
458,23736
459,23736
460,23736
461,23736
462,23736
463,23736
464,23736
465,23736
466,23736
467,23736
468,23736
469,23736
470,23736
471,23736
472,23736
473,23736
474,23736
475,23736
476,23736
477,23736
478,23736
479,23736
480,23736
481,23736
482,23736
483,23736
484,23736
485,23736
486,23736
487,23736
488,23736
489,23736
490,23736
491,23736
492,23736
493,23736
494,23736
495,23736
496,23736
497,23736
498,23736
499,23736
500,23736
501,23736
502,23736
503,23736
504,23736
505,23736
506,23736
507,23736
508,23736
509,23736
510,23736
511,23736
512,23736
513,23736
514,23736
515,23736
516,23736
517,23736
518,23736
519,23736
520,23736
521,23736
522,23736
523,23736
524,23736
525,23736
526,23736
527,23736
528,23736
529,23736
530,23736
531,23736
532,23736
533,23736
534,23736
535,23736
536,23736
537,23736
538,23736
539,23736
540,23736
541,23736
542,23736
543,23736
544,23736
545,23736
546,23736
547,23736
548,23736
549,23736
550,23736
551,23736
552,23736
553,23736
554,23736
555,23736
556,23736
557,23736
558,23736
559,23736
560,23736
561,23736
562,23736
563,23736
564,23736
565,23736
566,23736
567,23736
568,23736
569,23736
570,23736
571,23736
572,23736
573,23736
574,23736
575,23736
576,23736
577,23736
578,23736
579,23736
580,23736
581,23736
582,23736
583,23736
584,23736
585,23736
586,23736
587,23736
588,23736
589,23736
590,23736
591,23736
592,23736
593,23736
594,23736
595,23736
596,23736
597,23736
598,23736
599,23736
600,23736
601,23736
602,23736
603,23736
604,23736
605,23736
606,23736
607,23736
608,23736
609,23736
610,23736
611,23736
612,23736
613,23736
614,23736
615,23736
616,23736
617,23736
618,23736
619,23736
620,23736
621,23736
622,23736
623,23736
624,23736
625,23736
626,23736
627,23736
628,23736
629,23736
630,23736
631,23736
632,23736
633,23736
634,23736
635,23736
636,23736
637,23736
638,23736
639,23736
640,23736
641,23736
642,23736
643,23736
