Run number:,Kb in use
1,26048
2,26048
3,26048
4,26048
5,26048
6,26048
7,26048
8,26048
9,26048
10,26048
11,26048
12,26048
13,26048
14,26048
15,26048
16,26048
17,26048
18,26048
19,26048
20,26048
21,26048
22,26048
23,26048
24,26048
25,26048
26,26048
27,26048
28,26048
29,26048
30,26048
31,26048
32,26048
33,26048
34,26048
35,26048
36,26048
37,26048
38,26048
39,26048
40,26048
41,26048
42,26048
43,26048
44,26048
45,26048
46,26048
47,26048
48,26048
49,26048
50,26048
51,26048
52,26048
53,26048
54,26048
55,26048
56,26048
57,26048
58,26048
59,26048
60,26048
61,26048
62,26048
63,26048
64,26048
65,26048
66,26048
67,26048
68,26048
69,26048
70,26048
71,26048
72,26048
73,26048
74,26048
75,26048
76,26048
77,26048
78,26048
79,26048
80,26048
81,26048
82,26048
83,26048
84,26048
85,26048
86,26048
87,26048
88,26048
89,26048
90,26048
91,26048
92,26048
93,26048
94,26048
95,26048
96,26048
97,26048
98,26048
99,26048
100,26048
101,26048
102,26048
103,26048
104,26048
105,26048
106,26048
107,26048
108,26048
109,26048
110,26048
111,26048
112,26048
113,26048
114,26048
115,26048
116,26048
117,26048
118,26048
119,26048
120,26048
121,26048
122,26048
123,26048
124,26048
125,26048
126,26048
127,26048
128,26048
129,26048
130,26048
131,26048
132,26048
133,26048
134,26048
135,26048
136,26048
137,26048
138,26048
139,26048
140,26048
141,26048
142,26048
143,26048
144,26048
145,26048
146,26048
147,26048
148,26048
149,26048
150,26048
151,26048
152,26048
153,26048
154,26048
155,26048
156,26048
157,26048
158,26048
159,26048
160,26048
161,26048
162,26048
163,26048
164,26048
165,26048
166,26048
167,26048
168,26048
169,26048
170,26048
171,26048
172,26048
173,26048
174,26048
175,26048
176,26048
177,26048
178,26048
179,26048
180,26048
181,26048
182,26048
183,26048
184,26048
185,26048
186,26048
187,26048
188,26048
189,26048
190,26048
191,26048
192,26048
193,26048
194,26048
195,26048
196,26048
197,26048
198,26048
199,26048
200,26048
201,26048
202,26048
203,26048
204,26048
205,26048
206,26048
207,26048
208,26048
209,26048
210,26048
211,26048
212,26048
213,26048
214,26048
215,26048
216,26048
217,26048
218,26048
219,26048
220,26048
221,26048
222,26048
223,26048
224,26048
225,26048
226,26048
227,26048
228,26048
229,26048
230,26048
231,26048
232,26048
233,26048
234,26048
235,26048
236,26048
237,26048
238,26048
239,26048
240,26048
241,26048
242,26048
243,26048
244,26048
245,26048
246,26048
247,26048
248,26048
249,26048
250,26048
251,26048
252,26048
253,26048
254,26048
255,26048
256,26048
257,26048
258,26048
259,26048
260,26048
261,26048
262,26048
263,26048
264,26048
265,26048
266,26048
267,26048
268,26048
269,26048
270,26048
271,26048
272,26048
273,26048
274,26048
275,26048
276,26048
277,26048
278,26048
279,26048
280,26048
281,26048
282,26048
283,26048
284,26048
285,26048
286,26048
287,26048
288,26048
289,26048
290,26048
291,26048
292,26048
293,26048
294,26048
295,26048
296,26048
297,26048
298,26048
299,26048
300,26048
301,26048
302,26048
303,26048
304,26048
305,26048
306,26048
307,26048
308,26048
309,26048
310,26048
311,26048
312,26048
313,26048
314,26048
315,26048
316,26048
317,26048
318,26048
319,26048
320,26048
321,26048
322,26048
323,26048
324,26048
325,26048
326,26048
327,26048
328,26048
329,26048
330,26048
331,26048
332,26048
333,26048
334,26048
335,26048
336,26048
337,26048
338,26048
339,26048
340,26048
341,26048
342,26048
343,26048
344,26048
345,26048
346,26048
347,26048
348,26048
349,26048
350,26048
351,26048
352,26048
353,26048
354,26048
355,26048
356,26048
357,26048
358,26048
359,26048
360,26048
361,26048
362,26048
363,26048
364,26048
365,26048
366,26048
367,26048
368,26048
369,26048
370,26048
371,26048
372,26048
373,26048
374,26048
375,26048
376,26048
377,26048
378,26048
379,26048
380,26048
381,26048
382,26048
383,26048
384,26048
385,26048
386,26048
387,26048
388,26048
389,26048
390,26048
391,26048
392,26048
393,26048
394,26048
395,26048
396,26048
397,26048
398,26048
399,26048
400,26048
401,26048
402,26048
403,26048
404,26048
405,26048
406,26048
407,26048
408,26048
409,26048
410,26048
411,26048
412,26048
413,26048
414,26048
415,26048
416,26048
417,26048
418,26048
419,26048
420,26048
421,26048
422,26048
423,26048
424,26048
425,26048
426,26048
427,26048
428,26048
429,26048
430,26048
431,26048
432,26048
433,26048
434,26048
435,26048
436,26048
437,26048
438,26048
439,26048
440,26048
441,26048
442,26048
443,26048
444,26048
445,26048
446,26048
447,26048
448,26048
449,26048
450,26048
451,26048
452,26048
453,26048
454,26048
455,26048
456,26048
457,26048
458,26048
459,26048
460,26048
461,26048
462,26048
463,26048
464,26048
465,26048
466,26048
467,26048
468,26048
469,26048
470,26048
471,26048
472,26048
473,26048
474,26048
475,26048
476,26048
477,26048
478,26048
479,26048
480,26048
481,26048
482,26048
483,26048
484,26048
485,26048
486,26048
487,26048
488,26048
489,26048
490,26048
491,26048
492,26048
493,26048
494,26048
495,26048
496,26048
497,26048
498,26048
499,26048
500,26048
501,26048
502,26048
503,26048
504,26048
505,26048
506,26048
507,26048
508,26048
509,26048
510,26048
511,26048
512,26048
513,26048
514,26048
515,26048
516,26048
517,26048
518,26048
519,26048
520,26048
521,26048
522,26048
523,26048
524,26048
525,26048
526,26048
527,26048
528,26048
529,26048
530,26048
531,26048
532,26048
533,26048
534,26048
535,26048
536,26048
537,26048
538,26048
539,26048
540,26048
541,26048
542,26048
543,26048
544,26048
545,26048
546,26048
547,26048
548,26048
549,26048
550,26048
551,26048
552,26048
553,26048
554,26048
555,26048
556,26048
557,26048
558,26048
559,26048
560,26048
561,26048
562,26048
563,26048
564,26048
565,26048
566,26048
567,26048
568,26048
569,26048
570,26048
571,26048
572,26048
573,26048
574,26048
575,26048
576,26048
577,26048
578,26048
579,26048
580,26048
581,26048
582,26048
583,26048
584,26048
585,26048
586,26048
587,26048
588,26048
589,26048
590,26048
591,26048
592,26048
593,26048
594,26048
595,26048
596,26048
597,26048
598,26048
599,26048
600,26048
601,26048
602,26048
603,26048
604,26048
605,26048
606,26048
607,26048
608,26048
609,26048
610,26048
611,26048
612,26048
613,26048
614,26048
615,26048
616,26048
617,26048
618,26048
619,26048
620,26048
621,26048
622,26048
623,26048
624,26048
625,26048
626,26048
627,26048
628,26048
629,26048
630,26048
631,26048
632,26048
633,26048
634,26048
635,26048
636,26048
637,26048
638,26048
639,26048
640,26048
641,26048
642,26048
643,26048
644,26048
645,26048
646,26048
647,26048
648,26048
649,26048
650,26048
651,26048
652,26048
653,26048
654,26048
655,26048
656,26048
657,26048
658,26048
659,26048
660,26048
661,26048
662,26048
663,26048
664,26048
665,26048
666,26048
667,26048
668,26048
669,26048
670,26048
671,26048
672,26048
673,26048
674,26048
675,26048
676,26048
677,26048
678,26048
679,26048
680,26048
681,26048
682,26048
683,26048
684,26048
685,26048
686,26048
687,26048
688,26048
689,26048
690,26048
691,26048
692,26048
693,26048
694,26048
695,26048
696,26048
697,26048
698,26048
699,26048
700,26048
701,26048
702,26048
703,26048
704,26048
705,26048
706,26048
707,26048
708,26048
