Run number:,Kb in use
1,25352
2,25372
3,25372
4,25376
5,25388
6,25404
7,25416
8,25420
9,25420
10,25424
11,25448
12,25448
13,25448
14,25452
15,25452
16,25452
17,25452
18,25452
19,25452
20,25452
21,25452
22,25452
23,25452
24,25452
25,25456
26,25456
27,25456
28,25456
29,25456
30,25456
31,25456
32,25456
33,25456
34,25456
35,25456
36,25456
37,25460
38,25460
39,25460
40,25460
41,25464
42,25472
43,25472
44,25472
45,25472
46,25472
47,25488
48,25488
49,25488
50,25488
51,25488
52,25488
53,25488
54,25488
55,25488
56,25488
57,25488
58,25488
59,25488
60,25488
61,25488
62,25488
63,25488
64,25488
65,25488
66,25488
67,25488
68,25488
69,25488
70,25488
71,25488
72,25488
73,25488
74,25488
75,25488
76,25488
77,25488
78,25488
79,25488
80,25488
81,25488
82,25488
83,25488
84,25488
85,25488
86,25488
87,25488
88,25488
89,25488
90,25488
91,25488
92,25488
93,25488
94,25488
95,25488
96,25488
97,25488
98,25488
99,25488
100,25488
101,25488
102,25488
103,25488
104,25488
105,25488
106,25488
107,25488
108,25488
109,25488
110,25488
111,25488
112,25492
113,25492
114,25492
115,25492
116,25492
117,25492
118,25492
119,25492
120,25492
121,25492
122,25492
123,25492
124,25492
125,25492
126,25492
127,25492
128,25492
129,25492
130,25492
131,25492
132,25492
133,25492
134,25492
135,25492
136,25492
137,25492
138,25492
139,25492
140,25492
141,25492
142,25492
143,25492
144,25492
145,25492
146,25492
147,25492
148,25492
149,25492
150,25492
151,25492
152,25492
153,25492
154,25492
155,25492
156,25496
157,25496
158,25496
159,25496
160,25496
161,25496
162,25496
163,25496
164,25496
165,25496
166,25496
167,25496
168,25496
169,25496
170,25496
171,25496
172,25496
173,25496
174,25496
175,25496
176,25496
177,25496
178,25496
179,25496
180,25496
181,25496
182,25496
183,25496
184,25496
185,25496
186,25496
187,25496
188,25496
189,25496
190,25496
191,25496
192,25496
193,25496
194,25496
195,25496
196,25496
197,25496
198,25496
199,25496
200,25496
201,25496
202,25496
203,25496
204,25496
205,25496
206,25496
207,25496
208,25496
209,25496
210,25496
211,25496
212,25496
213,25496
214,25496
215,25496
216,25496
217,25496
218,25496
219,25496
220,25496
221,25496
222,25496
223,25496
224,25496
225,25496
226,25496
227,25496
228,25496
229,25496
230,25496
231,25496
232,25496
233,25496
234,25496
235,25496
236,25496
237,25496
238,25496
239,25496
240,25496
241,25496
242,25496
243,25496
244,25496
245,25496
246,25496
247,25496
248,25496
249,25496
250,25496
251,25496
252,25496
253,25496
254,25496
255,25496
256,25496
257,25496
258,25496
259,25496
260,25496
261,25496
262,25496
263,25496
264,25496
265,25496
266,25496
267,25496
268,25496
269,25496
270,25496
271,25496
272,25496
273,25496
274,25496
275,25496
276,25496
277,25496
278,25496
279,25496
280,25496
281,25496
282,25496
283,25496
284,25496
285,25496
286,25496
287,25496
288,25496
289,25496
290,25496
291,25496
292,25496
293,25496
294,25496
295,25496
296,25496
297,25496
298,25496
299,25496
300,25496
301,25496
302,25496
303,25496
304,25496
305,25496
306,25496
307,25496
308,25496
309,25496
310,25496
311,25496
312,25496
313,25496
314,25496
315,25496
316,25496
317,25496
318,25496
319,25496
320,25496
321,25496
322,25496
323,25496
324,25496
325,25496
326,25496
327,25496
328,25496
329,25496
330,25496
331,25496
332,25496
333,25496
334,25496
335,25496
336,25496
337,25496
338,25496
339,25496
340,25496
341,25496
342,25496
343,25496
344,25496
345,25496
346,25496
347,25496
348,25496
349,25496
350,25496
351,25496
352,25496
353,25496
354,25496
355,25496
356,25496
357,25496
358,25496
359,25496
360,25496
361,25496
362,25496
363,25496
364,25496
365,25496
366,25496
367,25496
368,25496
369,25496
370,25496
371,25496
372,25496
373,25496
374,25496
375,25496
376,25496
377,25496
378,25496
379,25496
380,25496
381,25496
382,25496
383,25496
384,25496
385,25496
386,25496
387,25496
388,25496
389,25496
390,25496
391,25496
392,25496
393,25496
394,25496
395,25496
396,25496
397,25496
398,25496
399,25496
400,25496
401,25496
402,25496
403,25496
404,25496
405,25496
406,25496
407,25496
408,25496
409,25496
410,25496
411,25496
412,25496
413,25496
414,25496
415,25496
416,25496
417,25496
418,25496
419,25496
420,25500
421,25500
422,25500
423,25500
424,25500
425,25500
426,25500
427,25500
428,25500
429,25500
430,25500
431,25500
432,25500
433,25500
434,25500
435,25500
436,25500
437,25500
438,25500
439,25500
440,25500
441,25500
442,25500
443,25500
444,25500
445,25500
446,25500
447,25500
448,25500
449,25500
450,25500
451,25500
452,25500
453,25500
454,25500
455,25500
