Run number:,Kb in use
1,34888
2,34896
3,34900
4,34900
5,34900
6,34900
7,34900
8,34900
9,34900
10,34900
11,34900
12,34900
13,34904
14,34904
15,34904
16,34904
17,34904
18,34904
19,34904
20,34904
21,34904
22,34904
23,34904
24,34904
25,34904
26,34876
27,34876
28,34876
29,34876
30,34876
31,34696
32,34612
33,34612
34,34612
35,34616
36,34616
37,34616
38,34396
39,34184
40,34184
41,34136
42,34136
43,34136
44,33740
45,33740
46,33508
47,33404
48,33168
49,33168
50,33168
51,32828
52,32828
53,32828
54,32828
55,32828
56,32772
57,32772
58,32772
59,32772
60,32772
61,32772
62,32772
63,32772
64,32772
65,32772
66,32772
67,32772
68,32772
69,32772
70,32772
71,32772
72,32772
73,32772
74,32772
75,32772
76,32772
77,32772
78,32772
79,32772
80,32772
81,32772
82,32772
83,32772
84,32772
85,32772
86,32772
87,32772
88,32772
89,32772
90,32772
91,32772
92,32772
93,32772
94,32772
95,32772
96,32772
97,32772
98,32772
99,32772
100,32772
101,32772
102,32772
103,32772
104,32772
105,32772
106,32772
107,32772
108,32772
109,32772
110,32772
111,32772
112,32772
113,32772
114,32772
115,32772
116,32772
117,32772
118,32772
119,32772
120,32772
121,32772
122,32772
123,32772
124,32772
125,32772
126,32772
127,32772
128,32772
129,32772
130,32772
131,32772
132,32772
133,32772
134,32772
135,32772
136,32772
137,32772
138,32772
139,32772
140,32772
141,32772
142,32772
143,32772
144,32772
145,32772
146,32772
147,32772
148,32772
149,32772
150,32772
151,32772
152,32772
153,32772
154,32772
155,32772
156,32772
157,32772
158,32772
159,32772
160,32772
161,32772
162,32772
163,32772
164,32772
165,32772
166,32772
167,32772
168,32772
169,32772
170,32772
171,32772
172,32772
173,32772
174,32772
175,32772
176,32772
177,32772
178,32772
179,32772
180,32772
181,32772
182,32772
183,32772
184,32772
185,32772
186,32772
187,32772
188,32772
189,32772
190,32772
191,32772
192,32772
193,32772
194,32772
195,32772
196,32772
197,32772
198,32772
199,32772
200,32772
201,32772
202,32772
203,32772
204,32772
205,32772
206,32772
207,32772
208,32772
209,32772
210,32772
211,32772
212,32772
213,32772
214,32772
215,32772
216,32772
217,32772
218,32772
219,32772
220,32772
221,32772
222,32772
223,32772
224,32772
225,32772
226,32772
227,32772
228,32772
229,32772
230,32772
231,32772
232,32772
233,32772
234,32772
235,32772
236,32772
237,32772
238,32772
239,32772
240,32772
241,32772
242,32772
243,32772
244,32772
245,32772
246,32772
247,32772
248,32772
249,32772
250,32772
251,32772
252,32772
253,32772
254,32772
255,32772
256,32772
257,32772
258,32772
259,32772
260,32772
261,32772
262,32772
263,32772
264,32772
265,32772
266,32772
267,32772
268,32772
269,32772
270,32772
271,32772
272,32772
273,32772
274,32772
275,32772
276,32772
277,32772
278,32772
279,32772
280,32772
281,32772
282,32772
283,32772
284,32772
285,32772
286,32772
287,32772
288,32772
289,32772
290,32772
291,32772
292,32772
293,32772
294,32772
295,32772
296,32772
297,32772
298,32772
299,32772
300,32772
301,32772
302,32772
303,32772
304,32772
305,32772
306,32772
307,32772
308,32772
309,32772
310,32772
311,32772
312,32772
313,32772
314,32772
315,32772
316,32772
317,32772
318,32772
319,32772
320,32772
321,32772
322,32772
323,32772
324,32772
325,32772
326,32772
327,32772
328,32772
329,32772
330,32772
331,32772
332,32772
333,32772
334,32772
335,32772
336,32772
337,32772
338,32772
339,32772
340,32772
341,32772
342,32772
