Run number:,Kb in use
1,18836
2,18836
3,18840
4,18840
5,18840
6,18840
7,18840
8,18840
9,18840
10,18840
11,18840
12,18840
13,18840
14,18840
15,18840
16,18840
17,18840
18,18840
19,18840
20,18840
21,18840
22,18840
23,18840
24,18840
25,18840
26,18840
27,18840
28,18840
29,18840
30,18840
31,18840
32,18840
33,18840
34,18840
35,18840
36,18840
37,18840
38,18840
39,18840
40,18840
41,18840
42,18840
43,18840
44,18840
45,18840
46,18840
47,18840
48,18840
49,18840
50,18840
51,18840
52,18840
53,18840
54,18840
55,18840
56,18840
57,18840
58,18840
59,18840
60,18840
61,18840
62,18840
63,18840
64,18840
65,18840
66,18840
67,18840
68,18840
69,18840
70,18840
71,18840
72,18840
73,18840
74,18840
75,18840
76,18840
77,18840
78,18840
79,18840
80,18840
81,18840
82,18840
83,18840
84,18840
85,18840
86,18840
87,18840
88,18840
89,18840
90,18840
91,18840
92,18840
93,18840
94,18840
95,18840
96,18840
97,18840
98,18840
99,18840
100,18840
101,18840
102,18840
103,18840
104,18840
105,18840
106,18840
107,18840
108,18840
109,18840
110,18840
111,18840
112,18840
113,18840
114,18840
115,18840
116,18840
117,18840
118,18840
119,18840
120,18840
121,18840
122,18840
123,18840
124,18840
125,18840
126,18840
127,18840
128,18840
129,18840
130,18840
131,18840
132,18840
133,18840
134,18840
135,18840
136,18840
137,18840
138,18840
139,18840
140,18840
141,18840
142,18840
143,18840
144,18840
145,18840
146,18840
147,18840
148,18840
149,18840
150,18840
151,18840
152,18840
153,18840
154,18840
155,18840
156,18840
157,18840
158,18840
159,18840
160,18840
161,18840
162,18840
163,18840
164,18840
165,18840
166,18840
167,18840
168,18840
169,18840
170,18840
171,18840
172,18840
173,18840
174,18840
175,18840
176,18840
177,18840
178,18840
179,18840
180,18840
181,18840
182,18840
183,18840
184,18840
185,18840
186,18840
187,18840
188,18840
189,18840
190,18840
191,18840
192,18840
193,18840
194,18840
195,18840
196,18840
197,18840
198,18840
199,18840
200,18840
201,18840
202,18840
203,18840
204,18840
205,18840
206,18840
207,18840
208,18840
209,18840
210,18840
211,18840
212,18840
213,18840
214,18840
215,18840
216,18840
217,18840
218,18840
219,18840
220,18840
221,18840
222,18840
223,18840
224,18840
225,18840
226,18840
227,18840
228,18840
229,18840
230,18840
231,18840
232,18840
233,18840
234,18840
235,18840
236,18840
237,18840
238,18840
239,18840
240,18840
241,18840
242,18840
243,18840
244,18840
245,18840
246,18840
247,18840
248,18840
249,18840
250,18840
251,18840
252,18840
253,18840
254,18840
255,18840
256,18840
257,18840
258,18840
259,18840
260,18840
261,18840
262,18840
263,18840
264,18840
265,18840
266,18840
267,18840
268,18840
269,18840
270,18840
271,18840
272,18840
273,18840
274,18840
275,18840
276,18840
277,18840
278,18840
279,18840
280,18840
281,18840
282,18840
283,18840
284,18840
285,18840
286,18840
287,18840
288,18840
289,18840
290,18840
291,18840
292,18840
293,18840
294,18840
295,18840
296,18840
297,18840
298,18840
299,18840
300,18840
301,18840
302,18840
303,18840
304,18840
305,18840
306,18840
307,18840
308,18840
309,18840
310,18840
311,18840
312,18840
313,18840
314,18840
315,18840
316,18840
317,18840
318,18840
319,18840
320,18840
321,18840
322,18840
323,18840
324,18840
325,18840
326,18840
327,18840
328,18840
329,18840
330,18840
331,18840
332,18840
333,18840
334,18840
335,18840
336,18840
337,18840
338,18840
339,18840
340,18840
341,18840
342,18840
343,18840
344,18840
345,18840
346,18840
347,18840
348,18840
349,18840
350,18840
351,18840
352,18840
353,18840
354,18840
355,18840
356,18840
357,18840
358,18840
359,18840
360,18840
361,18840
362,18840
363,18840
364,18840
365,18840
366,18840
367,18840
368,18840
369,18840
370,18840
371,18840
372,18840
373,18840
374,18840
375,18840
376,18840
377,18840
378,18840
379,18840
380,18840
381,18840
382,18840
383,18840
384,18840
385,18840
386,18840
387,18840
388,18840
389,18840
390,18840
391,18840
392,18840
393,18840
394,18840
395,18840
396,18840
397,18840
398,18840
399,18840
400,18840
401,18840
402,18840
403,18840
404,18840
405,18840
406,18840
407,18840
408,18840
409,18840
410,18840
411,18840
412,18840
413,18840
414,18840
415,18840
416,18840
417,18840
418,18840
419,18840
420,18840
421,18840
422,18840
423,18840
424,18840
425,18840
426,18840
427,18840
428,18840
429,18840
430,18840
431,18840
432,18840
433,18840
434,18840
435,18840
436,18840
437,18840
438,18840
439,18840
440,18840
441,18840
442,18840
443,18840
444,18840
445,18840
446,18840
447,18840
448,18840
449,18840
450,18840
451,18840
452,18840
453,18840
454,18840
455,18840
456,18840
457,18840
458,18840
459,18840
460,18840
461,18840
462,18840
463,18840
464,18840
465,18840
466,18840
467,18840
468,18840
469,18840
470,18840
471,18840
472,18840
473,18840
474,18840
475,18840
476,18840
477,18840
478,18840
479,18840
480,18840
481,18840
482,18840
483,18840
484,18840
485,18840
486,18840
487,18840
488,18840
489,18840
490,18840
491,18840
492,18840
493,18840
494,18840
495,18840
496,18840
497,18840
498,18840
499,18840
500,18840
501,18840
502,18840
503,18840
504,18840
505,18840
506,18840
507,18840
508,18840
509,18840
510,18840
511,18840
512,18840
513,18840
514,18840
515,18840
516,18840
517,18840
518,18840
519,18840
520,18840
521,18840
522,18840
523,18840
524,18840
525,18840
526,18840
527,18840
528,18840
529,18840
530,18840
531,18840
532,18840
533,18840
534,18840
535,18840
536,18840
537,18840
538,18840
539,18840
540,18840
541,18840
542,18840
543,18840
544,18840
545,18840
546,18840
547,18840
548,18840
549,18840
550,18840
551,18840
552,18840
553,18840
554,18840
555,18840
556,18840
557,18840
558,18840
559,18840
560,18840
561,18840
562,18840
563,18840
564,18840
565,18840
566,18840
567,18840
568,18840
569,18840
570,18840
571,18840
572,18840
573,18840
574,18840
575,18840
576,18840
577,18840
578,18840
579,18840
580,18840
581,18840
582,18840
583,18840
584,18840
585,18840
586,18840
587,18840
588,18840
589,18840
590,18840
591,18840
592,18840
593,18840
594,18840
595,18840
596,18840
597,18840
598,18840
599,18840
600,18840
601,18840
602,18840
603,18840
604,18840
605,18840
606,18840
607,18840
608,18840
609,18840
610,18840
611,18840
612,18840
613,18840
614,18840
615,18840
616,18840
617,18840
618,18840
619,18840
620,18840
621,18840
622,18840
623,18840
624,18840
625,18840
626,18840
627,18840
628,18840
629,18840
630,18840
631,18840
632,18840
633,18840
634,18840
635,18840
636,18840
637,18840
638,18840
639,18840
640,18840
641,18840
642,18840
643,18840
644,18840
645,18840
646,18840
647,18840
648,18840
649,18840
650,18840
651,18840
652,18840
653,18840
654,18840
655,18840
656,18840
657,18840
658,18840
659,18840
660,18840
661,18840
662,18840
663,18840
664,18840
665,18840
666,18840
667,18840
668,18840
669,18840
670,18840
671,18840
672,18840
673,18840
674,18840
675,18840
676,18840
677,18840
678,18840
679,18840
680,18840
681,18840
682,18840
683,18840
684,18840
685,18840
686,18840
687,18840
688,18840
689,18840
690,18840
691,18840
692,18840
693,18840
694,18840
695,18840
696,18840
697,18840
698,18840
699,18840
700,18840
701,18840
702,18840
703,18840
704,18840
705,18840
706,18840
707,18840
708,18840
709,18840
710,18840
711,18840
712,18840
713,18840
714,18840
715,18840
716,18840
717,18840
718,18840
719,18840
720,18840
721,18840
722,18840
723,18840
724,18840
725,18840
726,18840
727,18840
728,18840
729,18840
730,18840
731,18840
732,18840
733,18840
734,18840
735,18840
736,18840
737,18840
738,18840
739,18840
740,18840
741,18840
742,18840
743,18840
744,18840
745,18840
746,18840
747,18840
748,18840
749,18840
750,18840
751,18840
752,18840
753,18840
754,18840
755,18840
756,18840
757,18840
758,18840
759,18840
760,18840
761,18840
762,18840
763,18840
764,18840
765,18840
766,18840
767,18840
768,18840
769,18840
770,18840
771,18840
772,18840
773,18840
774,18840
775,18840
776,18840
777,18840
778,18840
779,18840
780,18840
781,18840
782,18840
783,18840
784,18840
785,18840
786,18840
787,18840
788,18840
789,18840
790,18840
791,18840
792,18840
793,18840
794,18840
795,18840
796,18840
797,18840
798,18840
799,18840
800,18840
801,18840
802,18840
803,18840
804,18840
805,18840
806,18840
807,18840
808,18840
809,18840
810,18840
811,18840
812,18840
813,18840
814,18840
815,18840
816,18840
817,18840
818,18840
819,18840
820,18840
821,18840
822,18840
823,18840
824,18840
825,18840
826,18840
827,18840
828,18840
829,18840
830,18840
831,18840
832,18840
833,18840
834,18840
835,18840
836,18840
837,18840
838,18840
839,18840
840,18840
841,18840
842,18840
843,18840
844,18840
845,18840
846,18840
847,18840
848,18840
849,18840
850,18840
851,18840
852,18840
853,18840
854,18840
855,18840
856,18840
857,18840
858,18840
859,18840
860,18840
861,18840
862,18840
863,18840
864,18840
865,18840
866,18840
867,18840
868,18840
869,18840
870,18840
871,18840
872,18840
873,18840
874,18840
875,18840
876,18840
877,18840
878,18840
879,18840
880,18840
881,18840
882,18840
883,18840
884,18840
885,18840
886,18840
887,18840
888,18840
889,18840
890,18840
891,18840
892,18840
893,18840
894,18840
895,18840
896,18840
897,18840
898,18840
899,18840
900,18840
901,18840
902,18840
903,18840
904,18840
905,18840
906,18840
907,18840
908,18840
909,18840
910,18840
911,18840
912,18840
913,18840
914,18840
915,18840
916,18840
917,18840
918,18840
919,18840
920,18840
921,18840
922,18840
923,18840
924,18840
925,18840
926,18840
927,18840
928,18840
929,18840
930,18840
931,18840
932,18840
933,18840
934,18840
935,18840
936,18840
937,18840
938,18840
939,18840
940,18840
941,18840
942,18840
943,18840
944,18840
945,18840
946,18840
947,18840
948,18840
949,18840
950,18840
951,18840
952,18840
953,18840
954,18840
955,18840
956,18840
957,18840
958,18840
959,18840
960,18840
961,18840
962,18840
963,18840
964,18840
965,18840
966,18840
967,18840
968,18840
969,18840
970,18840
971,18840
972,18840
973,18840
974,18840
975,18840
976,18840
977,18840
978,18840
979,18840
980,18840
981,18840
982,18840
983,18840
984,18840
985,18840
986,18840
987,18840
988,18840
989,18840
990,18840
991,18840
992,18840
993,18840
994,18840
995,18840
996,18840
997,18840
998,18840
999,18840
1000,18840
1001,18840
1002,18840
1003,18840
1004,18840
1005,18840
1006,18840
1007,18840
1008,18840
1009,18840
1010,18840
1011,18840
1012,18840
1013,18840
1014,18840
1015,18840
1016,18840
1017,18840
1018,18840
1019,18840
1020,18840
1021,18840
1022,18840
1023,18840
1024,18840
1025,18840
1026,18840
1027,18840
1028,18840
1029,18840
1030,18840
1031,18840
1032,18840
1033,18840
1034,18840
1035,18840
1036,18840
1037,18840
1038,18840
1039,18840
1040,18840
1041,18840
1042,18840
1043,18840
1044,18840
1045,18840
1046,18840
1047,18840
1048,18840
1049,18840
1050,18840
1051,18840
1052,18840
1053,18840
1054,18840
1055,18840
1056,18840
1057,18840
1058,18840
1059,18840
1060,18840
1061,18840
1062,18840
1063,18840
1064,18840
1065,18840
1066,18840
1067,18840
1068,18840
1069,18840
1070,18840
1071,18840
1072,18840
1073,18840
1074,18840
1075,18840
1076,18840
1077,18840
1078,18840
1079,18840
1080,18840
1081,18840
1082,18840
1083,18840
1084,18840
1085,18840
1086,18840
1087,18840
1088,18840
1089,18840
1090,18840
1091,18840
1092,18840
1093,18840
1094,18840
1095,18840
1096,18840
1097,18840
1098,18840
1099,18840
1100,18840
1101,18840
1102,18840
1103,18840
1104,18840
1105,18840
1106,18840
1107,18840
1108,18840
1109,18840
1110,18840
1111,18840
1112,18840
1113,18840
1114,18840
1115,18840
1116,18840
1117,18840
1118,18840
1119,18840
1120,18840
1121,18840
1122,18840
1123,18840
1124,18840
1125,18840
1126,18840
1127,18840
1128,18840
1129,18840
1130,18840
1131,18840
1132,18840
1133,18840
1134,18840
1135,18840
1136,18840
1137,18840
1138,18840
1139,18840
1140,18840
1141,18840
1142,18840
1143,18840
1144,18840
1145,18840
1146,18840
1147,18840
1148,18840
1149,18840
1150,18840
1151,18840
1152,18840
1153,18840
1154,18840
1155,18840
1156,18840
1157,18840
1158,18840
1159,18840
1160,18840
1161,18840
1162,18840
1163,18840
1164,18840
1165,18840
1166,18840
1167,18840
1168,18840
