Run number:,Kb in use
1,33640
2,33640
3,33640
4,33640
5,33640
6,33640
7,33640
8,33644
9,33644
10,33644
11,33644
12,33644
13,33644
14,33644
15,33644
16,33644
17,33644
18,33644
19,33644
20,33644
21,33644
22,33644
23,33644
24,33644
25,33644
26,33644
27,33644
28,33644
29,33644
30,33644
31,33644
32,33644
33,33644
34,33644
35,33644
36,33644
37,33644
38,33644
39,33644
40,33644
41,33644
42,33644
43,33644
44,33644
45,33644
46,33644
47,33644
48,33644
49,33644
50,33644
51,33644
52,33644
53,33644
54,33644
55,33644
56,33644
57,33644
58,33644
59,33644
60,33644
61,33644
62,33644
63,33644
64,33644
65,33644
66,33644
67,33644
68,33644
69,33644
70,33644
71,33644
72,33644
73,33644
74,33644
75,33644
76,33644
77,33644
78,33644
79,33644
80,33644
81,33644
82,33644
83,33644
84,33648
85,33648
86,33648
87,33648
88,33648
89,33648
90,33648
91,33648
92,33648
93,33648
94,33648
95,33648
96,33648
97,33648
98,33648
99,33648
100,33648
101,33648
102,33648
103,33648
104,33648
105,33648
106,33648
107,33648
108,33648
109,33648
110,33648
111,33648
112,33648
113,33648
114,33648
115,33648
116,33648
117,33648
118,33648
119,33648
120,33648
121,33648
122,33648
123,33648
124,33648
125,33648
126,33648
127,33648
128,33648
129,33648
130,33648
131,33648
132,33648
133,33648
134,33648
135,33648
136,33648
137,33648
138,33648
139,33648
140,33648
141,33648
142,33648
143,33648
144,33648
145,33648
146,33648
147,33648
148,33648
149,33648
150,33648
151,33648
152,33648
153,33648
154,33648
155,33648
156,33648
157,33648
158,33648
159,33648
160,33648
161,33648
162,33648
163,33648
164,33648
165,33648
166,33648
167,33648
168,33648
169,33648
170,33648
171,33648
172,33648
173,33648
174,33648
175,33648
176,33648
177,33648
178,33648
179,33648
180,33648
181,33648
182,33648
183,33652
184,33652
185,33652
186,33652
187,33652
188,33652
189,33652
190,33652
191,33652
192,33652
193,33652
194,33652
195,33652
196,33652
197,33652
198,33652
