Run number:,Kb in use
1,14236
2,14252
3,14252
4,14252
5,14252
6,14252
7,14252
8,14252
9,14252
10,14252
11,14252
12,14252
13,14252
14,14252
15,14256
16,14256
17,14276
18,14276
19,14276
20,14276
21,14276
22,14276
23,14276
24,14276
25,14276
26,14276
27,14276
28,14276
29,14276
30,14276
31,14276
32,14276
33,14276
34,14276
35,14276
36,14288
37,14288
38,14288
39,14288
40,14288
41,14288
42,14288
43,14288
44,14288
45,14288
46,14288
47,14288
48,14288
49,14288
50,14288
51,14288
52,14288
53,14288
54,14288
55,14288
56,14288
57,14288
58,14288
59,14288
60,14288
61,14288
62,14288
63,14288
64,14288
65,14288
66,14288
67,14288
68,14288
69,14288
70,14288
71,14288
72,14288
73,14288
74,14288
75,14288
76,14288
77,14288
78,14288
79,14288
80,14288
81,14288
82,14288
83,14288
84,14288
85,14288
86,14288
87,14288
88,14288
89,14288
90,14288
91,14288
92,14288
93,14292
94,14292
95,14292
96,14292
97,14292
98,14292
99,14292
100,14292
101,14292
102,14292
103,14292
104,14292
105,14292
106,14292
107,14292
108,14292
109,14292
110,14292
111,14292
112,14292
113,14292
114,14292
115,14292
116,14292
117,14292
118,14292
119,14292
120,14292
121,14292
122,14292
123,14292
124,14292
125,14292
126,14292
127,14292
128,14292
129,14292
130,14292
131,14292
132,14292
133,14292
134,14292
135,14292
136,14292
137,14292
138,14292
139,14292
140,14292
141,14292
142,14292
143,14292
144,14292
145,14292
146,14292
147,14292
148,14292
149,14292
150,14292
151,14292
152,14292
153,14292
154,14292
155,14292
156,14292
157,14292
158,14292
159,14292
160,14292
161,14292
162,14292
163,14292
164,14292
165,14292
166,14292
167,14292
168,14292
169,14292
170,14292
171,14292
172,14296
173,14296
174,14296
175,14296
176,14296
177,14296
178,14296
179,14296
180,14296
181,14296
182,14296
183,14296
184,14296
185,14296
186,14296
187,14296
188,14296
189,14296
190,14296
191,14296
192,14296
193,14296
194,14296
195,14300
196,14300
197,14300
198,14300
199,14300
200,14300
201,14300
202,14300
203,14300
204,14300
205,14300
206,14300
207,14300
208,14300
209,14300
210,14300
211,14300
212,14300
213,14300
214,14300
215,14300
216,14300
217,14300
218,14300
219,14300
220,14300
221,14300
222,14300
223,14300
224,14300
225,14300
226,14300
227,14300
228,14300
229,14300
230,14300
231,14300
232,14300
233,14300
234,14300
235,14300
236,14300
237,14300
238,14300
239,14300
240,14300
241,14300
242,14300
243,14300
244,14300
245,14300
246,14300
247,14300
248,14300
249,14300
250,14300
251,14300
252,14300
253,14300
254,14300
255,14300
256,14300
257,14300
258,14300
259,14300
260,14300
261,14300
262,14300
263,14300
264,14300
265,14300
266,14300
267,14300
268,14300
269,14300
270,14300
271,14300
272,14300
273,14300
274,14300
275,14300
276,14300
277,14300
278,14300
279,14300
280,14300
281,14300
282,14300
283,14300
284,14300
285,14300
286,14300
287,14300
288,14300
